,ASR Transcript (Taken From Actual TCS Task),use pretrained xlmr for reranking,Claim 1 Relevance,Claim 2 Relevance,Claim 3 relevance,Score,continue_pretrained_result
36,[Task ID 7357045737768616454] they don't get counted exactly amanda no million voting guys i stressed it all the time get your butt in there and vote in person boom let's go team voted in person never slow down that's what you gotta do followed you back to never slow down thank you,"'claim: , notes: The primary claim is that people who went to polls to vote '
  'in person were told the computer shows they already voted, and that this is '
  'proof voting machines are rigged. This is likely misinformation. It is '
  'misleading because while the recall election for California Gov. Gavin '
  'Newsome did have some problems where some people were counted as having '
  'voted when they hadn’t this was not an intentional rigged problem. It was a '
  'technical error. \n'
  'Ruling: Likely misinformation, misleading.  ',
  'claim: This person claims that their family voted for the Liberal party and '
  'then called them crazy, notes: This claim cannot be factchecked as it is '
  'based on a personal experience',
  'claim: Female politician explains what happens to spoiled ballots in '
  ""response to someone who claims that they don't get read out or observed. ""
  ""Says he is kind of right - they don't get counted - but they are seen. , ""
  ""notes: It's factually correct, spoiled ballots in the UK are seen but not ""
  'counted. '",1.0,1.0,1.0,Highly Relevant,"['claim: , notes: The primary claim is that people who went to polls to vote in person were told the computer shows they already voted, and that this is proof voting machines are rigged. This is likely misinformation. It is misleading because while the recall election for California Gov. Gavin Newsome did have some problems where some people were counted as having voted when they hadn’t this was not an intentional rigged problem. It was a technical error. \nRuling: Likely misinformation, misleading.  ', 'claim: This person claims that their family voted for the Liberal party and then called them crazy, notes: This claim cannot be factchecked as it is based on a personal experience', ""claim: Female politician explains what happens to spoiled ballots in response to someone who claims that they don't get read out or observed. Says he is kind of right - they don't get counted - but they are seen. , notes: It's factually correct, spoiled ballots in the UK are seen but not counted. ""]"
37, [Task ID 7357038355101663750] systems who runs everything like they're the ones who's calling the shots there who's fucking poisoning us i mean for fuck sake did you not read the fucking mission statement written by jp morgan and all the elites their whole plan is to poison us poison us with pills poison us with chemtrails poison us with,"claim: ""A text claims, “They intoxicate us,” and is followed by images of '
  '“chemtrails.”\\n"", notes: ""Misinformation. According to PolitiFact, citing '
  'atmospheric chemists, “chemtrails” are not real. Experts say that '
  'well-understood physical and chemical processes debunk the alleged evidence '
  'for “chemtrails.”\\n""',
  'claim: ""\\""Look how they poison us\\"""", notes: ""Este tipo de afirmaciones '
  'están asociadas a la teoría de los chemtrails o estelas químicas, que ya ha '
  'sido desmentida en múltiples ocasiones. En realidad, las estelas no tienen '
  'químicos \\""ocultos\\"" que se esparcen con el objetivo de \\""fumigar\\"" a '
  'las personas.""',
  'claim: , notes: The video claims that “masks do not work” and the vaccines '
  'will “poison” people which is false.\n'",1.0,1.0,0.0,Highly Relevant,"['claim: ""A text claims, “They intoxicate us,” and is followed by images of “chemtrails.”\\n"", notes: ""Misinformation. According to PolitiFact, citing atmospheric chemists, “chemtrails” are not real. Experts say that well-understood physical and chemical processes debunk the alleged evidence for “chemtrails.”\\n""', 'claim: ""\\""Look how they poison us\\"""", notes: ""Este tipo de afirmaciones están asociadas a la teoría de los chemtrails o estelas químicas, que ya ha sido desmentida en múltiples ocasiones. En realidad, las estelas no tienen químicos \\""ocultos\\"" que se esparcen con el objetivo de \\""fumigar\\"" a las personas.""', 'claim: , notes: The video claims that “masks do not work” and the vaccines will “poison” people which is false.\n']"
38,[Task ID 7357864807543931398] so do i so do i so the weather so the weather whether you guys are ready or not we are in world war three,"claim: "" Russia is getting people ready for World War III. "", notes: '
  '""Russia has warned that World War III could happen if Ukraine is admitted '
  'to NATO. However, Russia also uses misinformation and misdirection as a '
  'weapon. We cannot confirm this, and this situation is developing. \\n""',
  'claim: ""weather forecast reported."", notes: """"',
  'claim: ""“Are we ready for war? Our troops are deployed.”\\n"", notes: ""If '
  'the claim refers to the US, it is not misinformation. AP: “Within hours of '
  'the horrific attack by Hamas, the U.S. began moving warships and aircraft '
  'to the region to be ready to provide Israel with whatever it needed to '
  'respond. A second U.S. carrier strike group departs from Norfolk, Virginia, '
  'on Friday. Scores of aircraft are heading to U.S. military bases around the '
  'Middle East. Special operations forces are now assisting Israel’s military '
  'in planning and intelligence. The first shipment of additional munitions '
  'has already arrived.”\\n""'",1.0,0.5,0.5,Highly Relevant,"['claim: "" Russia is getting people ready for World War III. "", notes: ""Russia has warned that World War III could happen if Ukraine is admitted to NATO. However, Russia also uses misinformation and misdirection as a weapon. We cannot confirm this, and this situation is developing. \\n""', 'claim: ""weather forecast reported."", notes: """"', 'claim: ""“Are we ready for war? Our troops are deployed.”\\n"", notes: ""If the claim refers to the US, it is not misinformation. AP: “Within hours of the horrific attack by Hamas, the U.S. began moving warships and aircraft to the region to be ready to provide Israel with whatever it needed to respond. A second U.S. carrier strike group departs from Norfolk, Virginia, on Friday. Scores of aircraft are heading to U.S. military bases around the Middle East. Special operations forces are now assisting Israel’s military in planning and intelligence. The first shipment of additional munitions has already arrived.”\\n""']"
39,"absolutely it all is and people can live and denial all they want about this but tornadoes hurricanes all of the weather is patented and it's being used on us however they want it to be and if you don't believe that do yourself a quick google search on billion dollar weather it's all you gotta type in billion dollar. whether because we fund it it's weaponized against the people um and it has everything to do with the insurance companies and our money and our taxes and every i mean it's crazy what they can do um but out here where i live yes girl exactly. ou know what you're talking about darpa darpas ahead of all that shit darpa harp sir and it's all the saint national institute nano technology all of it um yeah everybody the lightning exactly it's not lightning 
","'claim: ""The end of the human species is near, they want to eliminate pain '
  'through technology"", notes: """"',
  'claim: ""HAARP can control weather. "", notes: ""This claim has been debunked '
  'by LeadStories. ""',
  'claim: ""People do not believe what they have in front of them \\n"", notes: '
  '""""'",0.0,1.0,0.0,Highly Relevant,"['claim: ""Chemtrail is used for weather engineering and controlling the weather. "", notes: ""This conspiracy theory has been debunked. ""', 'claim:  The US government is working to modify the weather , notes: It is true that weather can sometimes be successfully modified, but this fact is often linked to conspiracy theories that deny climate change and content that chemtrails alter our weather. Though this video does not directly make those claims, it links to a private Whatsapp group called “family circle”. I did not enter the group with my personal phone number, but such groups are often linked to the spread of misinformation. ', 'claim: ""The weather can now be weaponised through High-frequency Active Auroral Research Program (HAARP) technology.\\n"", notes: ""AFP has previously debunked claims that HAARP can control the weather or alter the climate.\\n\\nHAARP transmits radio waves, but these waves are not absorbed in either the troposphere or the stratosphere, which produce the Earth’s weather. \\n""']"
40,so the global elites have decided to erase us from their world by 2050 originally but now they have amped up their plans to 2030 we will see many changes in our six years left on earth ,"'claim: ""The 2030 Agenda launched by the United Nations will create a new '
  'world order where a vast array of constraints are placed on people by '
  'globalist elites."", notes: ""This is misinformation. AFP has previously '
  'debunked similar claims about the 2030 Agenda.\\n\\nThe term “new world '
  'order” refers to a conspiracy theory that claims authorities seek to '
  'implement various goals including mandatory vaccination. As reported by '
  'AFP, it has long been part of far-right misinformation campaigns.\\n""',
  'claim: ""They (we) want to depopulate the world. That is the 2030 Agenda. "", '
  'notes: ""The UN\'s 2030 Agenda does not seek to depopulate the world.  ""',
  'claim: Agenda 30 is not a conspiracy theory, notes: Agenda 2030 is a UN '
  'initiative to fulfill a number of sustainable development goals by year '
  '2030, in collaboration with the World Economic Forum. It is the subject of '
  'several conspiracy theories, including that it includes the goal for global '
  ""elites to take away all possessions from the world's population by 2030. ""
  'However, no false claims are made in the video. The claim that Agenda 2030 '
  'is not a conspiracy theory is in itself correct.'",1.0,1.0,1.0,Highly Relevant,"['claim: ""The 2030 Agenda launched by the United Nations will create a new world order where a vast array of constraints are placed on people by globalist elites."", notes: ""This is misinformation. AFP has previously debunked similar claims about the 2030 Agenda.\\n\\nThe term “new world order” refers to a conspiracy theory that claims authorities seek to implement various goals including mandatory vaccination. As reported by AFP, it has long been part of far-right misinformation campaigns.\\n""', 'claim: ""They (we) want to depopulate the world. That is the 2030 Agenda. "", notes: ""The UN\'s 2030 Agenda does not seek to depopulate the world.  ""', ""claim: Agenda 30 is not a conspiracy theory, notes: Agenda 2030 is a UN initiative to fulfill a number of sustainable development goals by year 2030, in collaboration with the World Economic Forum. It is the subject of several conspiracy theories, including that it includes the goal for global elites to take away all possessions from the world's population by 2030. However, no false claims are made in the video. The claim that Agenda 2030 is not a conspiracy theory is in itself correct.""]"
41,his war time war what is it crimes against humanity and he shook and he's shown to lie he's part of the kgb and all that stuff is telling the truth and he's really gonna stop because he won't he will not. because he's an absolutely insane mad man and he needs to be stopped before he walks into a nadeau pennsylvania do you do you yeah a hundred percent a hundred percent,"'claim: , notes: misrepresents training with prop guns as evidence the war '
  'is fake/news media lying about war',
  'claim: There is a war going on and and the surviving people will be '
  'deplatformed., notes: This video is about the New World Order or the Great '
  'Reset conspiracy theories. It says a war is going on an the those people '
  'remaining after the war shall be de-platformed. ',
  'claim: Bucha incident will be investigated for possible war crimes., notes: '
  'Based on factual reporting'",0.0,0.0,0.0,Not Relevant at all,"['claim: , notes: misrepresents training with prop guns as evidence the war is fake/news media lying about war', ""claim: , notes: This rabbi is denying the war in Ukraine,saying that it's all a lie and the the media is fabricating reports. This is blatant misinformation. "", 'claim: There is a war going on and and the surviving people will be deplatformed., notes: This video is about the New World Order or the Great Reset conspiracy theories. It says a war is going on an the those people remaining after the war shall be de-platformed. ']"
42,donald trump in a jail cell and then they get exposed and they say oh i don't have access to it there's no accountability in this country. now we're watching all the consequences of the stolen election interference is this corrupt communist i'm gonna say communist because these people are communist they are communist and we need to be out here today to protest against this and to steal a donald trump or else we are going to turn into a communist country,"'claim: , notes: This is not misinformation. This is something that Donald '
  'Trump said.  ',
  'claim: ""Video claims that the federal government has “muzzled” former '
  'President Donald Trump by issuing a protective order to prevent him from '
  'going public with evidence that the 2020 election was stolen. "", notes: '
  '""The source of the claim is from Crossroads With Joshua Philipp, an online '
  'show produced by the Epoch Times. The Epoch Times has been a source of '
  'right-wing misinformation, The New York Times reported. The protective '
  'order was not put in place to prevent Trump from sharing evidence proving '
  'the election was stolen but to prevent him from using evidence to attack '
  'his enemies. There continues to be no evidence supporting the claim that '
  'the 2020 election was stolen. ""',
  'claim: , notes: This video claims that the election was stolen from Donald '
  'Trump as part of a conspiracy. A recent recount in Arizona found that Joe '
  'Biden won the election y a slightly higher margin than initially thought. '
  'There is no evidence of wrongdoing. We mark this as misinformation.  \n",0.0,1.0,1.0,Highly Relevant,"['claim: , notes: This is not misinformation. This is something that Donald Trump said.  ', 'claim: ""Video claims that the federal government has “muzzled” former President Donald Trump by issuing a protective order to prevent him from going public with evidence that the 2020 election was stolen. "", notes: ""The source of the claim is from Crossroads With Joshua Philipp, an online show produced by the Epoch Times. The Epoch Times has been a source of right-wing misinformation, The New York Times reported. The protective order was not put in place to prevent Trump from sharing evidence proving the election was stolen but to prevent him from using evidence to attack his enemies. There continues to be no evidence supporting the claim that the 2020 election was stolen. ""', ""claim: , notes: President Trump wasn't the first to talk about MS-13's child trafficking activities. To say that he exposed it would be misleading. An MS-13 leader was sentenced to 50 years in prison for the same in 2012, years before Trump came to power. ""]"
43,"that's why certain things we do know they just don't want us to know what's up overdose it's been a minute fam they don't want us to know that that's a matter of fact nipsey hussle i had no idea that he was promoting um i forgot his name he was some type of doctor that he was talking about like herbs and stuff like that and they had
um i forgot his name he was some type of doctor that he was talking about like herbs and stuff like that and they had an article on it looks like this is why they had end up shutting him down because it was certain things like certain herbs and stuff that they don't want american people to know this is revealing too much
article on it was like this is why they had end up shutting him down because it was certain things like certain herbs and stuff that they don't want american people to know this is revealing too much so in order to keep their money from because think about it if we reveal everything meaning herbs medicines that heal our body
oh in order to keep their money from because think about it if we reveal everything meaning herbs medicines that heal our body we're not gonna need an er no more we're not gonna need a doctor no more basically that stops you as money so anyway that they can hinder that they will do that and i feel like that's crazy as hell
we're not gonna need an er no more we're not gonna need a doctor no more basically that stopped you at money so anyway that they can handle that they will do that and i feel like that's crazy as hell but because that's how us makes their money and that's why certain people move to different countries because not all countries are the same all countries like africa a lot of people move to","""claim: He's talking about how the body hyper-reacts to certain things like ""
  'pollen or shrimp, as well as things like flu and vaccines. He says the '
  'reaction is due to hyper-reactivity and not the pollen/shrimp/vaccine/flu. '
  'Concludes by saying we need to be more to, notes: Nada para checar aqui. O '
  'corpo reagir de forma exagerada ocorre sim, mas existe uma linguagem '
  'específica para isso (crise anafilatica para alergias, cytokine storm para '
  'infecções). Sem usar esses termos, e sem saber o intuito do vídeo, não tem '
  'o que fact-check. ',
  'claim: ""Public figures like former US health czar Anthony Fauci, American '
  'billionaire philanthropist Bill Gates and George Soros and the World '
  'Economic Forum founder Klaus Schwab have committed crimes against humanity '
  'and should be put on trial like the Nurember, notes: ""There is no credible '
  'evidence to support the claim.\\n\\nQAnon conspiracy theorists and '
  'anti-vaxxers believe in a baseless conspiracy theory that a second set of '
  'Nuremberg-like trials, dubbed Nuremberg 2.0, will be held to prosecute '
  'those who introduced and supported pandemic restrictions and Covid '
  'vaccinations. \\n""',
  'claim: , notes: The video makes mulitple claims. Some are false, others are '
  'still unconfirmed.  The text on the video says"" Today I saw 2 videos, where '
  'Ukrainian tanks are calmly rolling over cars with people inside. What do '
  'you think? Normally Russians were accused of it. But do you even know what '
  ""Russian tanks look like? Do you even know that Russian tanks don't drive ""
  ""alone? Do you know that they have special marks? You don't know? You know. ""
  'But you blame Russians because its profitable for you. People post videos '
  'adding siren sounds, five year old videos from Donbass showing this is what '
  'is going on in Ukraine now. I dont have any will to beleive in that. And '
  'you say that they lie in our news? You who thoroughly prove that its a '
  'Russian tank, although that you know its a Ukrainian tank. You are actors, '
  'just like your president. "" According to France 24, On Twitter, videos from '
  'February 25 showing a military tank running over a car in the Obolon '
  ""district of Ukraine's capital city Kyiv have garnered over ten million ""
  'views. But contrary to what some users claim, this is not a Russian tank '
  'deliberately running over a civilian. There are many indications that the '
  'incident actually involved a Ukrainian tank. They also say that in several '
  'videos, the Ukrainian soldiers nearby do not attack the armoured vehicle '
  'after it runs over the car, nor does the vehicle flee. This is why several '
  'journalists claim that the driver of the Strela-10 was not one of these '
  'saboteurs, but rather a Ukrainian soldier who was thrown off by the '
  'shooting that had taken place nearby. They said the collision between the '
  'car and the Ukrainian armoured vehicle was accidental and caused by the '
  'fighting. Based on our research, we rate the claim that a video shows a '
  'Russian tank running over a Ukrainian car MISSING CONTEXT, because without '
  'additional details it could be misleading. The video, which shows a car '
  'being run over in the Obolon district in Kyiv, has been verified. Military '
  'experts say the vehicle in the video is likely a Strela-10, which is used '
  'by '",0.0,0.5,0.0,Somewhat Relevant ,"['claim: ""The US is now ready to engage in a war against China"", notes: ""This claim cannot be independently verified.\\n\\nUS President Joe Biden said in 2021 he does not want war with China: “That’s why you have — you know, you hear people saying, ‘Biden wants to start a new Cold War with China.’  I don’t want a Cold War with China.  I just want to make China understand that we are not going to step back.”\\n""', 'claim: , notes: The video claims a juice made from beetroot, carrot, orange, cucumber and ginger can cleanse the liver. The post uses an unknown voice to claim “they don’t want you to know you can heal yourself, they don’t want us to know that the medication they are giving us is only putting a band aid on the problem, never healing us.” \nThe advice in the post is misleading since fresh fruit and vegetables are consider vital to the healthy diet, including those shown in the drink mix, but it is misleading to suggest in an advert that a regular fruit and vegetable drink mixture can heal a liver related ailment. Those suffering liver ailments should seek medical advice and not rely on home remedies promoted by unknown sources. \n', 'claim: ""\\""When you read articles like this, don\'t just get upset at their propaganda \'cause that\'s expected.\\"""", notes: ""There\'s no clear fact-checkable claim here. It sounds more like opinion.""']"
44,talk about it why can't we talk about it what can we be loud why don't i have enough people to hear my voice see that's a problem see we're gonna keep on going to war and it's gonna be a panel circle more wars more wars cause if he's a corporations in the military. industrial complex that kills people for a living it's called depopulating the earth it's not really going to war with another country,"'claim: ""The ongoing oil crisis will cause several wars between nations, '
  'starting with the Russia-Ukraine war, and the Philippines will be the only '
  'country that can save the world as it has the biggest natural gas '
  'reserves.\\n"", notes: ""The Russian invasion of Ukraine was not caused by an '
  'issue related to oil.\\n\\nRussia – not the Philippines – has the largest '
  'proven natural gas reserves in the world. \\n""',
  'claim: ""Depopulating the earth is one of the plans of the new world order"", '
  'notes: ""This is a conspiracy theory""',
  'claim: A video describing the effects of nuclear war on people., notes: The '
  'video that explains how nuclear war would affect humans, and the '
  'surroundings. '",0.0,0.5,0.0,Somewhat Relevant ,"['claim: ""The ongoing oil crisis will cause several wars between nations, starting with the Russia-Ukraine war, and the Philippines will be the only country that can save the world as it has the biggest natural gas reserves.\\n"", notes: ""The Russian invasion of Ukraine was not caused by an issue related to oil.\\n\\nRussia – not the Philippines – has the largest proven natural gas reserves in the world. \\n""', 'claim: ""Depopulating the earth is one of the plans of the new world order"", notes: ""This is a conspiracy theory""', 'claim: There is a war going on and and the surviving people will be deplatformed., notes: This video is about the New World Order or the Great Reset conspiracy theories. It says a war is going on an the those people remaining after the war shall be de-platformed. ']"
45,no food stores and shelves are empty now you wanna be friends with me see what i'm saying you get my picture god said love one another we failed in that area so you say what you wanna let god be that let them put a microchip in there i ain't take no vaccine shot and i ain't plan on taking no chip and putting it in me god didn't say nothing to worry about you need to get a chip put in you god warn me but god didn't say i have to do that,"'claim: ""We can only some of the vaccine vials have a placebo serum, '
  'otherwise God help those who take the shot."", notes: ""opinie""',
  'claim: , notes: This video claims that it is planned to limit access to '
  'food stores and that the food stores soon will be accessible for only '
  'persons having the QR code. Misinformation: QR-code regarding limitations '
  'now are discussed in the State Duma of Russia (analog of Parlament). These '
  'limitations should not be extended to food stores, pharmacies, and public '
  'transportation (',
  'claim: , notes: This video claims that it is planned to limit access to '
  'food stores and that the food stores soon will be accessible for only '
  'persons having the QR code.\n'
  'Misinformation: QR-code regarding limitations now are discussed in the '
  'State Duma of Russia (analog of Parlament). These limitations should not be '
  'extended to food stores, pharmacies, and public transportation ('",0.5,0.5,0.5,Somewhat Relevant ,"['claim: ""We can only some of the vaccine vials have a placebo serum, otherwise God help those who take the shot."", notes: ""opinie""', 'claim: , notes: This video claims that it is planned to limit access to food stores and that the food stores soon will be accessible for only persons having the QR code. Misinformation: QR-code regarding limitations now are discussed in the State Duma of Russia (analog of Parlament). These limitations should not be extended to food stores, pharmacies, and public transportation (', 'claim: , notes: This video claims that it is planned to limit access to food stores and that the food stores soon will be accessible for only persons having the QR code.\nMisinformation: QR-code regarding limitations now are discussed in the State Duma of Russia (analog of Parlament). These limitations should not be extended to food stores, pharmacies, and public transportation (']"
46,t's the truth it's reality they're not trustworthy i'm a nurse i've seen so much in last four years i bet you have especially during twenty twenty when they had you sign your rights away saying hey will you take this vaccine now i gotta be careful with this conversation because tik tok is like uh what did you say vaccines you trying to mislead people it's like no did you say vaccines you trying to mislead people it's like no i'm not like we're allowed to have our own opinion i don't like it those vaccines oh yeah they're killing people oops listen i had a fight for my life to not get that shit i had a fight for my life i i was,"'claim: , notes: It is not true that vaccinated people gets infected like '
  'unvaccinated people: ',
  'claim: The tiktok claims to show video of a nurse giving out fake vaccines, '
  'throwing something away beforehand.\n'
  ', notes: There have been a number of cases of nurses arrested for faking '
  'vaccines - including an Italian nurse caught on video.\n',
  'claim: , notes: Claim: Covid vaccines caused people to get infected. False, '
  'the covid vaccines are not infectious. \n'
  ' \n'",0.5,0.5,0.5,Somewhat Relevant ,"['claim: The tiktok claims to show video of a nurse giving out fake vaccines, throwing something away beforehand.\n, notes: There have been a number of cases of nurses arrested for faking vaccines - including an Italian nurse caught on video.\n', 'claim: , notes: It is not true that vaccinated people gets infected like unvaccinated people: ', 'claim: , notes: Claim: Covid vaccines caused people to get infected. False, the covid vaccines are not infectious. \n \n']"
47,spray their weeds outside that are naturally curable for the body by the way which are people starting to find out that dandelions and these weeds that are outside your house they were they were they are good for your body they help your immune system your your nasal congestion everything,"'claim: , notes: It is true that the human immune system benefits from '
  'exposure to immune challenges.   ',
  'claim: A nasal spray vaccine could really help covid-19, notes: Verdade. '
  'Vacinas em forma de spray nasal possuem muitos benefícios, como estimular a '
  'imunidade na mucosa. ',
  'claim: People are developing a nasal spray vaccine for COVID-19., notes: '
  'Existem vacinas que possuem a forma de spray para não só ativar o sistema '
  'imune central, mas também o sistema imune da mucosa respiratória; alguns '
  'laboratórios estão desenvolvendo vacinas desse tipo para covid, incluíndo '
  'um laboratório na USP. '",0.5,0.5,0.5,Somewhat Relevant ,"['claim: , notes: It is true that the human immune system benefits from exposure to immune challenges.   ', 'claim: A nasal spray vaccine could really help covid-19, notes: Verdade. Vacinas em forma de spray nasal possuem muitos benefícios, como estimular a imunidade na mucosa. ', 'claim: People are developing a nasal spray vaccine for COVID-19., notes: Existem vacinas que possuem a forma de spray para não só ativar o sistema imune central, mas também o sistema imune da mucosa respiratória; alguns laboratórios estão desenvolvendo vacinas desse tipo para covid, incluíndo um laboratório na USP. ']"
48," they had let in a lot of the chinese soldiers remember there was soldier age you didn't see no women and children holly you saw men a lot of men that are military age so just know
guys hello sandra hello caroline hello demar lulu ram thank you for joining and they were paying them putting them up in the best hotel these were soldiers it was an invader
but it was a silent invasion when i told you guys we were sold out we're sold out they're here already and guess who on the outside waiting for when y'all fighting against yourself and y'all got this civil war and y'all turning on yourself guess who's waiting russian china","'claim: ""The video shows University of Indonesia lecturer Ade Armando saying '
  'that 14 million Chinese soldiers have entered Indonesia since the start of '
  'the pandemic, threatening native Indonesians. "", notes: ""This is '
  'misinformation. The clip has been doctored from its original video titled: '
  '“Prank about Chinese Invasion to Indonesia”, in which Ade Armando detailed '
  'baseless claims on social media about China’s domination of Indonesia, '
  'including one claim that 14 million Chinese soldiers have entered Indonesia '
  'since the pandemic. \\n\\nAde also published a clarification video that his '
  'earlier video was edited out of context to add false narratives.\\n\\nThe '
  'claim that 14 million Chinese soldiers are entering Indonesia is baseless. '
  'There is no evidence or any credible news report to support the claim.\\n""',
  'claim: , notes: The video shows footage of soldiers in training, with a '
  'text overlay that says, “This is not a joke, OPEN YOUR EYES PEOPLE ,China '
  ""Acts Like It's 'Preparing for W…. W…. III.”  The footage shows soldiers ""
  'being trained, as they are in countries worldwide. It is not definitive '
  'that the images and videos actually show Chinese soldiers. The claim that '
  'this video proves China is preparing for war is unsubstantiated.  Ruling: '
  'N/A\n',
  'claim: ""The video is in Chinese."", notes: ""The video is in Chinese.""'",1.0,1.0,1.0,Highly Relevant,"[""claim: , notes: The video shows footage of soldiers in training, with a text overlay that says, “This is not a joke, OPEN YOUR EYES PEOPLE ,China Acts Like It's 'Preparing for W…. W…. III.”  The footage shows soldiers being trained, as they are in countries worldwide. It is not definitive that the images and videos actually show Chinese soldiers. The claim that this video proves China is preparing for war is unsubstantiated.  Ruling: N/A\n"", 'claim: ""The video shows University of Indonesia lecturer Ade Armando saying that 14 million Chinese soldiers have entered Indonesia since the start of the pandemic, threatening native Indonesians. "", notes: ""This is misinformation. The clip has been doctored from its original video titled: “Prank about Chinese Invasion to Indonesia”, in which Ade Armando detailed baseless claims on social media about China’s domination of Indonesia, including one claim that 14 million Chinese soldiers have entered Indonesia since the pandemic. \\n\\nAde also published a clarification video that his earlier video was edited out of context to add false narratives.\\n\\nThe claim that 14 million Chinese soldiers are entering Indonesia is baseless. There is no evidence or any credible news report to support the claim.\\n""', 'claim: ""China needs arable land to grow food because they are preparing for World War III. \\n"", notes: ""The Chinese government is trying to protect arable land because they need it to make sure their people are fed, not necessarily because China is getting ready for war. The U.S. Army has examined the link between China’s food supply and the country’s readiness for war, and found that China might not have enough food to go to war. We cannot say with certainty that China wants to grow food in order to go to war, but it’s not outside the realm of possibility. \\n""']"
49,cry about it nothing happened on january 6th one american was unalived that's it wasn't it ashley no that's not true at all one had a heart attack that's bullshit that's bullshit hey swoop go ahead,"""claim: , notes: It's not conspiracy theory, it's bullshit analyst"",
  'claim: , notes: DESCRIPTION: the claim is that the FBI director admits that '
  'Jan 6 was not an insurrection. This seems to be true.  “You refrained from '
  'calling the acts of January 6 an “insurrection” saying that you need to be '
  'careful about “not getting ahead of both prosecutors and judges.” But the '
  'Justice Department already called it an “insurrection,” and the federal '
  'judge accepted that description. So why don’t you?” Not misinformation ',
  'claim: ""Video claims to show proof that “Nancy Pelosi knew about Jan. 6th '
  'before it happened.” \\n"", notes: ""The proof that the video claims to show '
  'is Pelosi saying she will punch Trump out after finding out he was marching '
  'his supporters from a rally to the U.S. Capitol prior to the Jan. 6 attack. '
  'The footage is not proof that Pelosi had foreknowledge of what would happen '
  'that day. ""'",0.0,0.5,0.5,Somewhat Relevant ,"[""claim: , notes: It's not conspiracy theory, it's bullshit analyst"", 'claim: , notes: DESCRIPTION: the claim is that the FBI director admits that Jan 6 was not an insurrection. This seems to be true.  “You refrained from calling the acts of January 6 an “insurrection” saying that you need to be careful about “not getting ahead of both prosecutors and judges.” But the Justice Department already called it an “insurrection,” and the federal judge accepted that description. So why don’t you?” Not misinformation ', 'claim: , notes: This is misinformation. There is no evidence that vaccinated people are at a higher risk of heart problems or are more susceptible to heart attacks.  ']"
